,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Time,,"2,873","2,602",133,13,53,115,11
< 30 Days,,139,95,19,1,5,17,8
30 to < 90 Days,,247,218,13,2,7,9,1
90 Days to < 6 Months,,370,326,17,1,8,24,2
6 Months to < 1 Year,,604,546,24,2,13,32,0
1 Year to < 2 Years,,726,667,36,2,11,22,0
2 Years to < 3 Years,,407,388,5,3,7,6,0
3 Years to < 5 Years,,370,360,9,1,2,3,0
5 or More Years,,164,151,10,1,2,2,0
