ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
47,Tennessee,TN,47119,Maury County,47119,"Maury County, Tennessee",613.138488390794,102002,0,43464,41,39591,510,16653,1528,1303,321,9195,904,5828,696,9237,1417,16946,173,23447,0,11733,809,2434,458,784,322,22452,280,2271,527,3621,540,547,193,1038,239,1155,34,16.5,1.5,2.5,0.6,23.2,2.3,8.2,1.0,9.1,1.4,16.6,0.2,23.0,0.0,11.6,0.8,6.1,1.2,0.8,0.3,22.0,0.3,5.2,1.2,8.3,1.2,1.4,0.5,2.6,0.6,1.1,0.0,0.0319,0.0213,0.7553,0.0532,0.2234,1.0851,0.0638,0.2128,0.7979,0.0319,0.6489,0.6277,2.3192,0.4255,0.8404,0.8404,0.8404,0.8298,0.1489,0.2979,0.0745,0.1489,1.5,0.0532,5.7447,0.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92143,4357,590,11062,610,6747,0,890,144,217,120,8,13,3394,664,134,98,11.0,1.5,10.8,0.6,6.6,0.0,0.9,0.1,0.2,0.1,0.0,0.1,3.3,0.7,0.1,0.1
47,Tennessee,TN,47121,Meigs County,47121,"Meigs County, Tennessee",195.135050410136,12839,0,6087,27,5198,221,2973,563,403,146,1024,204,1667,294,1488,302,2714,51,2594,51,2792,380,69,43,28,88,1234,237,8,22,2019,255,153,98,221,99,113,11,23.4,4.4,7.5,2.6,19.7,3.8,17.9,3.2,11.7,2.4,21.1,0.4,20.2,0.4,21.9,3.0,1.4,0.8,0.2,0.7,9.6,1.8,0.1,0.4,33.2,4.2,3.0,1.9,4.3,1.9,0.9,0.1,0.266,0.883,0.3617,0.7872,0.734,3.0319,0.734,0.7447,0.3298,0.7021,0.0,0.1702,1.9468,0.1809,0.3936,0.3936,0.3936,0.0213,1.0,0.9255,0.3511,0.0532,2.3511,0.4362,7.7234,0.4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,10391,1083,184,306,182,155,127,67,76,0,21,0,21,652,286,54,77,20.8,3.6,2.4,1.4,1.2,1.0,0.5,0.6,0.0,0.3,0.0,0.3,5.1,2.2,0.4,0.6
47,Tennessee,TN,47123,Monroe County,47123,"Monroe County, Tennessee",635.773701538408,46489,0,21383,57,18976,435,12926,1211,1287,301,4239,586,4777,608,5114,738,9990,127,9661,48,10357,736,1217,303,267,134,5580,587,399,148,4935,534,464,145,932,270,574,18,28.6,2.7,6.6,1.5,22.3,3.0,14.3,1.8,11.1,1.6,21.5,0.3,20.8,0.1,22.5,1.6,6.4,1.6,0.6,0.3,12.0,1.3,1.9,0.7,23.1,2.5,2.4,0.8,4.9,1.4,1.2,0.0,0.5957,0.7766,0.6596,0.5426,0.6596,3.2341,0.7872,0.766,0.4681,0.766,0.734,0.5106,3.2447,0.9362,0.5213,0.5213,0.5213,0.5106,0.7872,0.7979,0.4787,0.2021,2.7765,0.7128,9.7766,0.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42752,3269,487,826,135,2124,0,194,90,45,45,0,29,2293,576,98,119,17.2,2.6,1.8,0.3,4.6,0.0,0.4,0.2,0.1,0.1,0.0,0.1,4.9,1.2,0.2,0.3
47,Tennessee,TN,47125,Montgomery County,47125,"Montgomery County, Tennessee",539.168967616478,222305,0,87220,88,80474,648,43504,2534,6107,744,21501,1391,8081,966,18018,1429,21227,94,59387,63,32401,1857,7486,855,1896,545,86884,533,5024,607,3646,498,2130,419,2863,486,3881,102,20.0,1.2,6.1,0.7,26.7,1.7,5.9,0.7,8.6,0.7,9.5,0.1,26.7,0.1,15.5,0.9,9.3,1.1,0.9,0.3,39.1,0.2,5.8,0.7,4.2,0.6,2.7,0.5,3.6,0.6,1.7,0.0,0.1596,0.6809,0.9043,0.0106,0.1489,1.9043,0.2872,0.0,1.0,0.1915,0.9468,0.6702,2.8085,0.7872,0.9362,0.9362,0.9362,0.8511,0.0638,0.883,0.2128,0.5638,2.5745,0.617,8.2235,0.6277,0,0,1,0,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,4,205894,6712,833,43586,1206,23819,0,5211,389,527,176,591,209,11816,1397,1334,581,8.3,1.0,19.6,0.5,10.7,0.0,2.3,0.2,0.2,0.1,0.3,0.1,5.3,0.6,0.6,0.3
47,Tennessee,TN,47127,Moore County,47127,"Moore County, Tennessee",129.2224899547,6558,0,2981,20,2558,113,1772,480,129,78,558,159,663,187,374,162,1393,45,1272,51,1016,175,142,84,4,73,503,23,10,26,307,104,52,46,75,51,95,22,27.5,7.4,4.2,2.5,21.8,6.1,13.9,3.9,5.8,2.5,21.2,0.7,19.4,0.8,15.7,2.7,5.5,3.3,0.1,1.2,7.7,0.4,0.3,0.9,10.3,3.5,2.1,1.8,2.9,2.0,1.4,0.3,0.4681,0.2872,0.617,0.5106,0.0106,1.8935,0.2766,0.7553,0.234,0.2128,0.4468,0.0638,1.7127,0.0426,0.2128,0.2128,0.2128,0.0638,0.234,0.6596,0.1064,0.3936,1.4574,0.0319,5.2764,0.0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7266,627,141,240,88,31,32,60,66,33,38,1,3,138,78,0,19,24.5,5.5,3.7,1.3,0.5,0.5,0.9,1.0,0.5,0.6,0.0,0.1,2.1,1.2,0.0,0.6
47,Tennessee,TN,47129,Morgan County,47129,"Morgan County, Tennessee",522.17966532736,21124,0,8546,38,7093,265,5750,798,669,234,1434,267,2840,353,2081,377,3864,27,4055,68,4379,428,319,106,12,100,2013,219,22,17,2211,319,135,83,309,107,2253,74,30.8,4.3,8.4,2.9,20.2,3.7,18.6,2.3,11.0,2.0,18.3,0.1,19.2,0.3,23.2,2.3,4.5,1.5,0.1,0.5,9.5,1.0,0.2,0.2,25.9,3.7,1.9,1.2,4.4,1.5,10.7,0.4,0.8085,0.9255,0.4468,0.8298,0.6383,3.6489,0.9043,0.3723,0.2128,0.8191,0.2021,0.0638,1.6701,0.0213,0.3723,0.3723,0.3723,0.0426,0.8723,0.5213,0.3936,0.9574,2.7872,0.7234,8.4785,0.6596,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15932,1364,250,1003,128,347,0,36,32,54,47,9,14,564,201,0,25,19.2,3.6,4.7,0.6,1.6,0.0,0.2,0.1,0.3,0.2,0.0,0.1,2.7,1.0,0.0,0.2
47,Tennessee,TN,47131,Obion County,47131,"Obion County, Tennessee",544.84751490483,30670,0,14335,38,12542,293,8546,798,700,170,2527,315,3281,424,2658,420,6272,88,6699,41,6872,526,669,162,177,150,6107,268,195,82,1621,224,184,87,911,171,403,16,28.3,2.6,5.0,1.2,20.1,2.5,15.2,1.9,8.8,1.4,20.4,0.3,21.8,0.1,22.7,1.7,5.4,1.3,0.6,0.5,19.9,0.9,1.4,0.6,11.3,1.6,1.4,0.7,7.3,1.3,1.3,0.1,0.5638,0.4362,0.4255,0.6277,0.1915,2.2447,0.4149,0.617,0.6383,0.7766,0.3936,0.5106,2.9361,0.8191,0.8191,0.8191,0.8191,0.4255,0.2979,0.2979,0.8936,0.2979,2.2128,0.3511,8.2127,0.6064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29957,2258,260,3219,136,1562,0,67,29,30,18,27,35,1127,302,75,73,18.0,1.9,10.5,0.4,5.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,3.7,1.0,0.2,0.2
47,Tennessee,TN,47133,Overton County,47133,"Overton County, Tennessee",433.487395367422,22576,0,10353,24,8820,238,6371,822,367,160,1645,322,2835,458,1620,258,4538,69,4754,40,3856,512,481,173,32,108,1019,13,57,48,1979,303,104,67,409,133,261,10,28.7,3.7,3.5,1.5,18.7,3.6,17.8,2.9,7.3,1.2,20.1,0.3,21.1,0.2,17.3,2.3,5.5,2.0,0.1,0.5,4.5,0.1,0.6,0.5,19.1,2.9,1.2,0.8,4.6,1.5,1.2,0.0,0.617,0.0851,0.234,0.7553,0.0426,1.734,0.2128,0.5426,0.5,0.3404,0.4468,0.0638,1.8936,0.1277,0.0319,0.0319,0.0319,0.1809,0.6064,0.1702,0.4255,0.2021,1.5851,0.0957,5.2446,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17624,2327,303,283,70,419,0,57,53,32,21,9,19,216,49,3,8,26.4,3.3,1.3,0.3,1.9,0.0,0.3,0.2,0.1,0.1,0.0,0.1,1.0,0.2,0.0,0.1
47,Tennessee,TN,47135,Perry County,47135,"Perry County, Tennessee",414.764665755388,8432,0,4808,14,2954,252,2306,568,380,152,515,153,1158,256,1359,369,1827,120,1882,34,1549,263,62,57,0,76,765,40,30,33,1511,241,0,26,106,64,159,4,28.0,6.9,10.9,4.4,17.4,5.0,20.0,4.3,16.4,4.5,21.7,1.4,22.3,0.4,18.7,3.2,2.1,1.9,0.0,1.0,9.1,0.5,0.6,0.7,31.4,5.0,0.0,0.9,3.6,2.2,1.9,0.0,0.5213,0.9894,0.1277,0.9468,0.9787,3.5639,0.8617,0.7872,0.7447,0.4468,0.0106,0.0,1.9893,0.2021,0.3298,0.3298,0.3298,0.1809,0.9894,0.0,0.2128,0.6383,2.0214,0.2234,7.9044,0.5106,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7173,733,180,30,34,85,105,186,203,44,48,0,19,420,180,0,19,24.8,5.2,0.4,0.4,1.0,1.3,2.2,2.4,0.5,0.6,0.0,0.5,5.0,2.1,0.0,0.5
47,Tennessee,TN,47137,Pickett County,47137,"Pickett County, Tennessee",162.97000939712,5042,0,3361,16,2205,178,1628,322,81,67,336,113,699,200,418,183,1390,31,900,55,1327,237,46,34,0,76,241,64,14,23,683,170,9,24,181,97,73,15,32.8,6.5,4.5,3.7,15.2,5.0,18.5,5.3,8.4,3.7,27.6,0.6,17.9,1.1,26.7,4.8,2.1,1.5,0.0,1.6,4.8,1.3,0.4,0.7,20.3,5.1,0.4,1.1,8.2,4.2,1.4,0.3,0.883,0.3404,0.0,0.8191,0.117,2.1595,0.3404,0.9894,0.0638,0.9574,0.0106,0.0,2.0212,0.234,0.0532,0.0532,0.0532,0.117,0.6596,0.0319,0.9149,0.3936,2.117,0.266,6.3509,0.1702,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,3,3892,596,153,14,30,112,76,0,19,0,19,0,19,115,93,0,19,27.0,6.6,0.3,0.6,2.2,1.5,0.0,0.8,0.0,0.8,0.0,0.8,2.3,1.8,0.0,0.8
47,Tennessee,TN,47139,Polk County,47139,"Polk County, Tennessee",434.60516220183,17620,0,8681,32,7101,247,4351,545,621,182,1130,215,1974,249,2704,441,3684,52,3441,38,3785,443,246,112,15,80,1654,448,25,23,2172,296,172,109,406,157,243,8,25.2,3.2,7.8,2.3,15.9,3.0,15.3,1.9,15.5,2.5,20.9,0.3,19.5,0.2,21.8,2.5,3.4,1.6,0.1,0.5,9.4,2.5,0.3,0.3,25.0,3.4,2.5,1.5,5.7,2.2,1.4,0.0,0.383,0.8936,0.0106,0.6383,0.9574,2.8829,0.6596,0.734,0.2447,0.6915,0.1064,0.0638,1.8404,0.0745,0.3617,0.3617,0.3617,0.0638,0.8511,0.8404,0.7128,0.3936,2.8617,0.766,7.9467,0.5213,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12079,1270,238,66,46,394,0,37,24,51,51,0,21,1065,454,41,63,17.9,3.2,0.4,0.3,2.2,0.0,0.2,0.1,0.3,0.3,0.0,0.2,6.0,2.6,0.2,0.4
