,,To Date,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Birth Sexes,,"28,091","1,517","1,566","1,447","1,209","1,202","1,164","1,040","1,026",965,908,857,818,796,738,789,715,776,658,680,724,620,620,584,607,549,550,533,528,498,478,440,384,438,363,366,389,295,254
Male,,"17,742",909,962,880,779,751,734,653,634,624,550,532,526,473,484,507,441,476,436,464,502,394,423,360,397,351,354,332,347,318,297,288,243,275,235,212,246,190,163
Female,,"10,349",608,604,567,430,451,430,387,392,341,358,325,292,323,254,282,274,300,222,216,222,226,197,224,210,198,196,201,181,180,181,152,141,163,128,154,143,105,91
