"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"    Asian alone","14,392,454","±11,963","(X)","(X)","6,729,108","±8,135","(X)","(X)","7,663,346","±8,064","(X)","(X)"
"        High school graduate or higher","12,705,919","±16,321","88.3%","±0.1","6,024,604","±9,242","89.5%","±0.1","6,681,315","±12,021","87.2%","±0.1"
"        Bachelor's degree or higher","8,303,107","±27,306","57.7%","±0.2","3,991,535","±15,012","59.3%","±0.2","4,311,572","±15,814","56.3%","±0.2"
"    Native Hawaiian and Other Pacific Islander alone","406,267","±4,375","(X)","(X)","201,409","±2,983","(X)","(X)","204,858","±2,594","(X)","(X)"
"        High school graduate or higher","354,968","±4,282","87.4%","±0.5","175,797","±2,855","87.3%","±0.8","179,171","±2,519","87.5%","±0.6"
"        Bachelor's degree or higher","77,190","±2,325","19.0%","±0.5","36,083","±1,786","17.9%","±0.8","41,107","±1,677","20.1%","±0.8"
"    Some other race alone","14,691,860","±45,902","(X)","(X)","7,510,029","±25,865","(X)","(X)","7,181,831","±25,787","(X)","(X)"
"        High school graduate or higher","9,910,483","±33,002","67.5%","±0.2","4,941,823","±17,488","65.8%","±0.2","4,968,660","±19,767","69.2%","±0.2"
"        Bachelor's degree or higher","2,382,008","±18,087","16.2%","±0.1","1,080,685","±10,776","14.4%","±0.1","1,301,323","±11,705","18.1%","±0.2"
"    Two or more races","23,851,719","±56,474","(X)","(X)","11,786,370","±31,917","(X)","(X)","12,065,349","±33,135","(X)","(X)"
"        High school graduate or higher","19,393,921","±49,911","81.3%","±0.2","9,433,088","±29,708","80.0%","±0.2","9,960,833","±30,966","82.6%","±0.2"
"        Bachelor's degree or higher","6,725,310","±64,758","28.2%","±0.3","3,074,428","±33,005","26.1%","±0.3","3,650,882","±34,574","30.3%","±0.3"
"    Hispanic or Latino Origin","38,082,038","±5,036","(X)","(X)","19,139,522","±3,631","(X)","(X)","18,942,516","±3,734","(X)","(X)"
"        High school graduate or higher","27,844,757","±69,984","73.1%","±0.2","13,675,854","±35,171","71.5%","±0.2","14,168,903","±38,723","74.8%","±0.2"
"        Bachelor's degree or higher","7,809,909","±78,268","20.5%","±0.2","3,528,769","±38,024","18.4%","±0.2","4,281,140","±42,758","22.6%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.2%","±0.1","(X)","(X)","20.7%","±0.1","(X)","(X)","27.8%","±0.1"
"    High school graduate (includes equivalency)","(X)","(X)","14.4%","±0.1","(X)","(X)","12.0%","±0.1","(X)","(X)","16.9%","±0.1"
"    Some college or associate's degree","(X)","(X)","9.8%","±0.1","(X)","(X)","7.7%","±0.1","(X)","(X)","11.6%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","4.9%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","52,696","±126","(X)","(X)","60,927","±119","(X)","(X)","45,252","±91","(X)","(X)"
"        Less than high school graduate","32,485","±60","(X)","(X)","37,438","±81","(X)","(X)","24,927","±88","(X)","(X)"
"        High school graduate (includes equivalency)","40,153","±45","(X)","(X)","47,017","±79","(X)","(X)","32,089","±58","(X)","(X)"
"        Some college or associate's degree","47,260","±59","(X)","(X)","57,004","±97","(X)","(X)","39,527","±76","(X)","(X)"
"        Bachelor's degree","70,044","±99","(X)","(X)","84,342","±200","(X)","(X)","59,340","±107","(X)","(X)"
"        Graduate or professional degree","90,720","±123","(X)","(X)","110,850","±257","(X)","(X)","77,880","±153","(X)","(X)"
