,,All Genders,Male,Female
All Organs,,"108,565","67,360","41,235"
Kidney,,"94,310","58,666","35,672"
Liver,,"8,875","5,094","3,781"
Pancreas,,814,417,397
Kidney / Pancreas,,"2,357","1,341","1,016"
Heart,,"3,974","2,998",976
Lung,,989,511,478
Heart / Lung,,24,15,9
Intestine,,162,88,74
VCA - abdominal wall,,1,1,0
VCA - head and neck,,2,0,2
VCA - other genitourinary organ,,2,2,0
VCA - upper limb,,2,2,0
VCA - uterus,,4,0,4
