All _Organs,Type,Category_type,All Time,< 30 Days,30 to < 90 Days,90 Days to < 6 Months,6 Months to < 1 Year,1 Year to < 2 Years,2 Years to < 3 Years,3 Years to < 5 Years,5 or More Years
,Hispanic/Latino,Registrations,4,1,0,0,1,0,1,0,1
,Hispanic/Latino,Candidates,4,1,0,0,1,0,1,0,1
,Asian,Registrations,1,0,0,0,0,0,1,0,0
,Asian,Candidates,1,0,0,0,0,0,1,0,0
Intestine,All Races/Ethnicities,Registrations,165,9,13,19,21,37,17,17,32
,All Races/Ethnicities,Candidates,163,9,13,19,21,37,17,17,32
,White,Registrations,83,3,6,11,13,20,11,8,11
,White,Candidates,83,3,6,11,13,20,11,8,11
,Black,Registrations,25,3,3,1,1,5,1,3,8
,Black,Candidates,25,3,3,1,1,5,1,3,8
,Hispanic/Latino,Registrations,43,1,3,5,6,11,2,6,9
,Hispanic/Latino,Candidates,43,1,3,5,6,11,2,6,9
,Unknown,Registrations,4,1,0,2,1,0,0,0,0
,Unknown,Candidates,3,1,0,2,1,0,0,0,0
,Asian,Registrations,8,1,1,0,0,0,3,0,3
,Asian,Candidates,8,1,1,0,0,0,3,0,3
,All  States,State_Abbrev.,"120,648","103,106","8,975",834,"2,475","4,051","1,006",26,165
,Alabama,AL,"1,241",995,191,2,18,24,10,0,0
,Arizona,AZ,"2,437","2,098",221,4,43,57,14,0,0
,Arkansas,AR,392,338,22,0,6,26,0,0,0
,California,CA,"20,869","18,467","1,428",99,369,353,110,2,40
,Colorado,CO,"1,555","1,307",172,12,10,49,5,0,0
,Connecticut,CT,"1,202","1,024",138,2,0,37,0,0,0
,Delaware,DE,148,139,6,0,0,3,0,0,0
,District of Columbia,DC,"1,435","1,135",199,15,23,52,0,0,11
,Florida,FL,"6,850","5,837",533,27,106,282,50,1,14
,Georgia,GA,"3,507","3,102",185,1,44,166,9,0,0
,Hawaii,HI,352,321,27,0,4,0,0,0,0
,Illinois,IL,"4,607","3,894",213,76,156,211,47,0,10
,Indiana,IN,"1,520","1,249",108,10,46,89,2,0,16
,Iowa,IA,620,550,18,4,25,17,6,0,0
,Kansas,KS,552,379,125,0,28,20,0,0,0
,Kentucky,KY,"1,040",865,96,0,19,45,15,0,0
,Louisiana,LA,"2,023","1,731",159,5,74,49,5,0,0
,Maine,ME,234,234,0,0,0,0,0,0,0
,Maryland,MD,"2,146","1,670",363,5,41,42,24,0,0
,Massachusetts,MA,"4,127","3,560",329,28,44,136,29,0,1
,Michigan,MI,"2,707","2,339",110,24,38,120,73,1,2
,Minnesota,MN,"2,558","1,967",187,81,183,110,29,1,0
,Mississippi,MS,554,492,40,0,11,11,0,0,0
,Missouri,MO,"2,221","1,923",135,0,59,76,28,0,0
,Nebraska,NE,484,350,70,7,2,43,4,0,8
,Nevada,NV,409,391,0,0,18,0,0,0,0
,New Hampshire,NH,254,254,0,0,0,0,0,0,0
,New Jersey,NJ,"2,656","2,446",90,16,63,39,2,0,0
,New Mexico,NM,441,435,0,0,6,0,0,0,0
,New York,NY,"8,359","7,072",544,131,134,365,97,2,13
,North Carolina,NC,"4,491","4,035",102,71,116,145,14,3,4
,North Dakota,ND,120,120,0,0,0,0,0,0,0
,Ohio,OH,"2,973","2,259",228,25,67,297,74,6,15
,Oklahoma,OK,816,663,87,0,16,34,16,0,0
,Oregon,OR,"1,246","1,105",89,3,22,27,0,0,0
,Pennsylvania,PA,"6,124","5,144",473,56,129,168,119,4,31
,Puerto Rico,PR,496,435,26,0,29,6,0,0,0
,Rhode Island,RI,387,387,0,0,0,0,0,0,0
,South Carolina,SC,"2,235","1,917",128,17,88,78,7,0,0
,South Dakota,SD,435,396,0,3,36,0,0,0,0
,Tennessee,TN,"3,180","2,858",132,14,52,118,6,0,0
,Texas,TX,"12,459","10,409","1,363",33,126,427,96,3,0
,Utah,UT,998,834,55,3,25,73,8,0,0
,Virginia,VA,"3,682","3,124",267,37,92,128,32,2,0
,Washington,WA,"1,685","1,348",188,9,41,46,53,0,0
,West Virginia,WV,183,177,0,0,0,6,0,0,0
,Wisconsin,WI,"1,638","1,331",128,14,66,76,22,1,0
