,,All Genders,Male,Female
All Organs,,"120,462","75,011","45,451"
Kidney,,"102,962","64,368","38,594"
Liver,,"8,998","5,167","3,831"
Pancreas,,825,423,402
Kidney / Pancreas,,"2,466","1,392","1,074"
Heart,,"4,020","3,039",981
Lung,,992,512,480
Heart / Lung,,24,15,9
Intestine,,164,90,74
VCA - abdominal wall,,1,1,0
VCA - head and neck,,2,0,2
VCA - other genitourinary organ,,2,2,0
VCA - upper limb,,2,2,0
VCA - uterus,,4,0,4
