,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
90 Days to < 6 Months,All Races/Ethnicities,All Ages,,370,329,15,1,8,23,2
,,< 1 Year,,1,0,0,0,0,1,0
,,1-5 Years,,8,1,2,0,0,5,0
,,6-10 Years,,1,1,0,0,0,0,0
,,
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,31,27,0,0,4,2,0
,,35-49 Years,,100,93,1,1,4,5,0
,,50-64 Years,,139,124,9,0,0,7,0
,,65 +,,89,82,3,0,0,3,2
,"White, Non-Hispanic",All Ages,,179,150,10,1,5,14,2
,,< 1 Year,,1,0,0,0,0,1,0
,,1-5 Years,,5,0,1,0,0,4,0
,,6-10 Years,,1,1,0,0,0,0,0
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,14,12,0,0,2,1,0
,,35-49 Years,,47,41,1,1,3,3,0
,,50-64 Years,,66,57,5,0,0,4,0
,,65 +,,44,38,3,0,0,1,2
,"Black, Non-Hispanic",All Ages,,156,149,2,0,3,7,0
,,1-5 Years,,1,0,0,0,0,1,0
,,18-34 Years,,13,12,0,0,2,0,0
,,35-49 Years,,45,44,0,0,1,2,0
,,50-64 Years,,61,58,2,0,0,2,0
,,65 +,,36,35,0,0,0,2,0
,Hispanic/Latino,All Ages,,22,19,3,0,0,0,0
,,1-5 Years,,2,1,1,0,0,0,0
,,18-34 Years,,3,3,0,0,0,0,0
,,35-49 Years,,7,7,0,0,0,0,0
,,50-64 Years,,6,4,2,0,0,0,0
,,
,,65 +,,4,4,0,0,0,0,0
,"Asian, Non-Hispanic",All Ages,,6,4,0,0,0,2,0
,,18-34 Years,,1,0,0,0,0,1,0
,,50-64 Years,,4,3,0,0,0,1,0
,,65 +,,1,1,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",All Ages,,1,1,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,5,5,0,0,0,0,0
,,35-49 Years,,1,1,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,,65 +,,3,3,0,0,0,0,0
6 Months to < 1 Year,All Races/Ethnicities,All Ages,,593,534,24,2,13,33,0
,,1-5 Years,,3,0,1,0,0,2,0
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,43,36,1,1,7,0,0
,,35-49 Years,,154,142,4,1,6,7,0
,,50-64 Years,,261,238,12,0,0,14,0
,,65 +,,131,117,6,0,0,10,0
,"White, Non-Hispanic",All Ages,,264,228,22,1,5,14,0
,,1-5 Years,,1,0,0,0,0,1,0
,,18-34 Years,,17,13,1,0,3,0,0
,,35-49 Years,,67,62,3,1,2,2,0
,,50-64 Years,,103,87,12,0,0,6,0
,,
,,65 +,,76,66,6,0,0,5,0
,"Black, Non-Hispanic",All Ages,,276,256,1,1,5,18,0
,,1-5 Years,,1,0,0,0,0,1,0
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,18,15,0,1,3,0,0
,,35-49 Years,,74,68,1,0,2,5,0
,,50-64 Years,,135,128,0,0,0,8,0
,,65 +,,47,44,0,0,0,4,0
,Hispanic/Latino,All Ages,,24,23,1,0,1,0,0
,,1-5 Years,,1,0,1,0,0,0,0
,,18-34 Years,,6,6,0,0,0,0,0
,,35-49 Years,,7,7,0,0,1,0,0
,,50-64 Years,,7,7,0,0,0,0,0
,,65 +,,3,3,0,0,0,0,0
,Unknown,All Ages,,3,1,0,0,2,1,0
,,18-34 Years,,1,1,0,0,1,0,0
,,35-49 Years,,1,0,0,0,1,0,0
,,65 +,,1,0,0,0,0,1,0
,"Asian, Non-Hispanic",All Ages,,13,13,0,0,0,0,0
,,50-64 Years,,10,10,0,0,0,0,0
,,65 +,,3,3,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,2,2,0,0,0,0,0
,,50-64 Years,,2,2,0,0,0,0,0
