,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
,,Male,,7,7,0,0,0,0,0
,,Female,,5,5,0,0,0,0,0
,,
,2 Years to < 3 Years,All Birth Sexes,,7,7,0,0,0,0,0
,,Male,,3,3,0,0,0,0,0
,,Female,,4,4,0,0,0,0,0
,3 Years to < 5 Years,All Birth Sexes,,4,4,0,0,0,0,0
,,Male,,4,4,0,0,0,0,0
,5 or More Years,All Birth Sexes,,2,2,0,0,0,0,0
,,Male,,1,1,0,0,0,0,0
,,Female,,1,1,0,0,0,0,0
