,,All Center States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2006,,"28,941",493,511,183,"3,311",405,178,14,348,"1,789",624,67,"1,331",524,157,168,286,416,76,697,765,928,929,16,774,335,69,56,534,78,"2,274",776,58,"1,294",198,325,"2,250",88,69,291,49,724,"2,052",290,50,744,521,59,767
2005,,"28,119",493,498,185,"3,245",436,179,15,318,"1,856",561,86,"1,296",621,169,155,319,475,53,627,731,891,974,22,670,257,66,42,589,68,"2,043",783,58,"1,222",225,290,"2,110",125,76,229,63,620,"1,999",238,38,685,554,50,814
2004,,"27,042",403,421,154,"3,296",382,176,19,277,"1,744",595,59,"1,251",554,148,137,274,565,66,568,705,919,955,33,601,267,65,36,613,64,"1,749",728,59,"1,193",239,252,"2,063",96,73,220,62,620,"1,940",302,24,627,622,50,776
2003,,"25,475",492,354,119,"3,138",364,172,15,262,"1,559",496,65,"1,199",527,195,136,277,539,67,483,672,784,942,40,494,217,59,35,513,53,"1,539",751,74,"1,061",252,336,"2,003",101,76,196,52,584,"1,899",276,37,601,563,65,741
2002,,"24,916",454,376,122,"3,007",361,212,24,252,"1,497",496,75,"1,092",444,211,144,296,476,62,630,604,791,887,43,508,226,68,31,514,59,"1,644",701,75,"1,059",227,313,"1,891",72,87,224,39,607,"1,814",264,3,559,518,61,796
2001,,"24,243",464,341,103,"2,789",362,214,18,238,"1,653",531,58,940,348,196,139,257,467,83,753,662,761,959,38,539,232,70,25,506,61,"1,655",693,63,"1,064",223,300,"1,716",103,84,295,25,549,"1,636",223,6,578,485,53,685
2000,,"23,274",527,289,110,"2,640",353,197,11,226,"1,370",480,53,984,303,208,146,265,428,57,812,647,721,919,37,595,249,63,21,484,74,"1,467",674,26,"1,121",207,276,"1,617",81,63,284,27,550,"1,629",221,21,527,530,59,625
1999,,"22,030",455,273,116,"2,462",316,197,1,252,"1,343",433,60,940,262,196,149,256,381,53,754,540,673,807,44,607,207,53,20,455,73,"1,402",606,30,974,203,244,"1,659",61,53,265,34,533,"1,603",244,24,511,454,79,673
1998,,"21,526",468,259,108,"2,571",320,190,1,260,"1,239",458,46,895,306,188,125,272,347,50,586,560,699,728,63,636,236,59,26,324,85,"1,377",633,39,"1,007",206,209,"1,637",71,52,221,29,528,"1,523",230,22,501,423,74,639
1997,,"20,316",445,212,136,"2,517",296,188,4,175,"1,188",438,41,892,272,178,114,257,334,32,501,595,641,672,34,592,223,65,20,324,65,"1,251",573,27,929,163,220,"1,700",41,37,186,16,498,"1,401",208,25,521,355,73,641
1996,,"19,765",450,206,112,"2,465",277,185,2,203,"1,018",371,36,941,291,178,107,268,343,31,511,597,626,656,53,534,227,45,30,297,108,"1,137",526,43,893,204,205,"1,628",25,0,217,17,478,"1,335",218,24,547,403,67,630
1995,,"19,396",453,205,127,"2,412",304,177,4,208,"1,023",433,18,935,277,143,124,271,377,33,433,547,644,660,46,581,229,29,26,261,104,"1,188",483,31,883,240,229,"1,533",37,0,160,14,440,"1,360",231,27,461,357,36,602
1994,,"18,299",410,233,121,"2,298",250,144,1,215,760,430,34,807,315,229,105,251,384,47,329,544,599,624,61,607,243,39,23,244,76,"1,061",528,41,843,255,234,"1,370",32,0,194,15,384,"1,290",192,17,460,362,36,562
1993,,"17,631",416,225,133,"2,314",303,159,1,210,634,423,26,663,306,195,105,243,299,31,311,532,555,630,36,542,252,49,27,219,62,997,347,34,834,227,236,"1,559",37,0,163,5,438,"1,260",203,5,426,348,32,579
1992,,"16,134",316,153,109,"2,147",205,131,0,255,631,362,43,588,291,137,99,184,304,31,253,535,551,606,19,439,237,41,4,184,61,950,349,28,871,159,210,"1,521",38,0,149,0,363,"1,215",191,0,362,298,41,473
1991,,"15,756",312,168,84,"2,133",179,144,0,256,602,321,30,587,277,140,117,219,292,44,184,568,554,549,26,458,238,34,0,168,87,862,361,23,772,137,163,"1,494",36,0,114,0,366,"1,172",229,15,368,348,34,491
1990,,"15,001",334,181,71,"1,969",209,143,0,214,566,363,28,567,279,125,94,151,230,40,149,526,483,537,31,388,215,24,0,140,79,822,311,24,724,143,190,"1,516",35,0,117,0,389,"1,101",223,25,379,337,37,492
1989,,"13,140",278,204,63,"1,757",176,147,0,211,506,315,36,511,250,106,73,122,160,41,144,515,460,486,19,416,203,1,0,109,59,685,245,9,545,133,156,"1,381",34,0,77,0,295,"1,086",199,15,233,212,44,423
1988,,"12,623",243,191,36,"1,572",155,138,0,233,457,378,17,549,242,125,85,117,171,35,146,443,398,490,34,373,192,0,0,90,82,616,257,1,592,159,148,"1,404",30,0,102,0,254,979,202,22,222,184,35,424
