"Notes","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01",422544,35092928,1204.1,1200.4,1207.7
,"Alaska","02",37215,5139936,724.0,716.7,731.4
,"Arizona","04",490593,51521005,952.2,949.6,954.9
,"Arkansas","05",252991,21289765,1188.3,1183.7,1193.0
,"California","06",2087745,275100980,758.9,757.9,759.9
,"Colorado","08",309397,40749117,759.3,756.6,761.9
,"Connecticut","09",234747,25219005,930.8,927.1,934.6
,"Delaware","10",73784,7033331,1049.1,1041.5,1056.6
,"District of Columbia","11",37084,4844095,765.6,757.8,773.3
,"Florida","12",1609941,154519266,1041.9,1040.3,1043.5
,"Georgia","13",681980,75769462,900.1,897.9,902.2
,"Hawaii","15",86490,10006402,864.3,858.6,870.1
,"Idaho","16",113833,13174487,864.0,859.0,869.1
,"Illinois","17",825547,88513779,932.7,930.7,934.7
,"Indiana","18",503024,47604546,1056.7,1053.8,1059.6
,"Iowa","19",230772,22316864,1034.1,1029.9,1038.3
,"Kansas","20",209318,20521508,1020.0,1015.6,1024.4
,"Kentucky","21",376364,31549556,1192.9,1189.1,1196.7
,"Louisiana","22",357230,32339867,1104.6,1101.0,1108.2
,"Maine","23",113498,9591078,1183.4,1176.5,1190.3
,"Maryland","24",382754,42917462,891.8,889.0,894.7
,"Massachusetts","25",433629,48792493,888.7,886.1,891.4
,"Michigan","26",749495,70211971,1067.5,1065.1,1069.9
,"Minnesota","27",344467,39863793,864.1,861.2,867.0
,"Mississippi","28",254636,20702222,1230.0,1225.2,1234.8
,"Missouri","29",478241,43203194,1107.0,1103.8,1110.1
,"Montana","30",79548,7708843,1031.9,1024.7,1039.1
,"Nebraska","31",127540,13716687,929.8,924.7,934.9
,"Nevada","32",203220,22036213,922.2,918.2,926.2
,"New Hampshire","33",96078,9677753,992.8,986.5,999.0
,"New Jersey","34",562543,63993602,879.1,876.8,881.4
,"New Mexico","35",155581,14772424,1053.2,1048.0,1058.4
,"New York","36",1193990,137284074,869.7,868.2,871.3
,"North Carolina","37",744034,74604177,997.3,995.0,999.6
,"North Dakota","38",49304,5422151,909.3,901.3,917.3
,"Ohio","39",932166,82277073,1133.0,1130.7,1135.3
,"Oklahoma","40",317821,28036489,1133.6,1129.7,1137.5
,"Oregon","41",288144,29641978,972.1,968.5,975.6
,"Pennsylvania","42",1000711,90368801,1107.4,1105.2,1109.5
,"Rhode Island","44",74827,7571415,988.3,981.2,995.4
,"South Carolina","45",405546,36776606,1102.7,1099.3,1106.1
,"South Dakota","46",61645,6308798,977.1,969.4,984.8
,"Tennessee","47",562298,48866814,1150.7,1147.7,1153.7
,"Texas","48",1623686,208410130,779.1,777.9,780.3
,"Utah","49",145816,23257064,627.0,623.8,630.2
,"Vermont","50",45766,4462226,1025.6,1016.2,1035.0
,"Virginia","51",544624,60496553,900.3,897.9,902.6
,"Washington","53",447849,54139634,827.2,824.8,829.6
,"West Virginia","54",178959,12480931,1433.9,1427.2,1440.5
,"Wisconsin","55",406500,41129034,988.4,985.3,991.4
,"Wyoming","56",39975,4070683,982.0,972.4,991.6
"Total",,,21985490,2325098265,945.6,945.2,946.0
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Group By: State"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Feb 23, 2026 1:56:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
